# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\Branco\Dropbox\Faculdade\OAC\mipsfinal_de2\mipsfinal_de2.csv
# Generated on: Mon Jul 14 16:11:41 2014

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Differential Pair
clk,Input,PIN_T29,6,B6_N0,,,,
controles[11],Output,PIN_AJ7,8,B8_N2,,,,
controles[10],Output,PIN_AD8,8,B8_N3,,,,
controles[9],Output,PIN_AD9,8,B8_N2,,,,
controles[8],Output,PIN_AC11,8,B8_N2,,,,
controles[7],Output,PIN_AB12,8,B8_N1,,,,
controles[6],Output,PIN_AC12,8,B8_N2,,,,
controles[5],Output,PIN_AB13,8,B8_N0,,,,
controles[4],Output,PIN_AC13,8,B8_N1,,,,
controles[3],Output,PIN_AD14,8,B8_N0,,,,
controles[2],Output,PIN_AH3,8,B8_N3,,,,
controles[1],Output,PIN_AJ2,8,B8_N3,,,,
controles[0],Output,PIN_AJ3,8,B8_N3,,,,
f_clk,Input,PIN_E16,4,B4_N3,,,,
hexas[55],Output,PIN_G1,2,B2_N2,,,,
hexas[54],Output,PIN_H3,2,B2_N1,,,,
hexas[53],Output,PIN_H2,2,B2_N2,,,,
hexas[52],Output,PIN_H1,2,B2_N2,,,,
hexas[51],Output,PIN_J2,2,B2_N2,,,,
hexas[50],Output,PIN_J1,2,B2_N2,,,,
hexas[49],Output,PIN_K3,2,B2_N2,,,,
hexas[48],Output,PIN_E4,2,B2_N0,,,,
hexas[47],Output,PIN_F4,2,B2_N0,,,,
hexas[46],Output,PIN_G4,2,B2_N0,,,,
